Timestamp,Source IP Address,Destination IP Address,Protocol,Packet Size (Bytes),Connection Duration (sec),Number of Packets,Attack Label
8/2/2022 19:15,110.207.118.63,172.36.150.79,TCP,1313,28.81,34,DDoS
1/10/2023 12:29,188.40.103.145,84.139.233.32,UDP,350,2.16,1,DDoS
10/15/2020 19:05,99.8.190.190,91.166.229.253,TCP,373,23.36,5,Malware
6/9/2021 18:55,128.62.6.140,4.104.218.143,ICMP,1155,1.03,40,Malware
7/8/2020 8:08,211.43.37.93,93.146.128.133,TCP,521,18.52,9,DDoS
9/23/2023 19:07,203.171.62.228,27.5.94.221,ICMP,1346,1.7,41,Intrusion
5/22/2022 3:10,115.120.220.179,72.56.150.150,UDP,1311,1.98,20,DDoS
6/4/2022 20:45,140.29.40.43,61.57.62.247,UDP,117,2.78,2,Malware
12/29/2022 23:42,76.128.95.185,142.92.111.242,TCP,1271,20.82,23,Malware
3/14/2023 7:27,118.23.216.0,109.17.204.56,TCP,308,9.94,1,Intrusion
2/13/2021 16:45,212.153.110.146,59.138.247.230,TCP,545,23.94,15,DDoS
5/23/2021 16:29,6.64.251.220,137.104.11.138,UDP,572,9,5,DDoS
12/1/2022 8:47,170.112.189.99,21.28.78.79,TCP,1474,19.52,15,DDoS
7/21/2022 20:33,50.30.140.36,76.154.100.68,UDP,1363,3.6,15,Intrusion
6/9/2023 5:57,194.120.14.24,201.55.168.126,UDP,443,8.37,2,Malware
4/10/2020 18:21,69.29.17.248,85.236.61.31,TCP,1026,13.04,32,DDoS
5/16/2023 13:01,170.211.138.30,172.97.181.148,TCP,554,21.45,9,Malware
10/8/2020 4:34,107.247.253.62,45.35.146.21,ICMP,649,0.47,9,Intrusion
8/20/2021 14:42,118.175.170.127,43.100.128.47,TCP,1378,6.95,22,Malware
5/8/2021 4:56,16.65.249.237,24.79.26.247,ICMP,107,1.13,4,DDoS
1/18/2023 1:12,122.130.86.58,110.54.165.63,ICMP,317,1.66,3,DDoS
4/16/2021 12:48,193.45.37.6,191.56.96.54,ICMP,875,0.75,9,DDoS
4/28/2022 14:18,68.123.14.202,168.106.24.90,UDP,576,1.78,12,DDoS
2/20/2023 6:41,19.14.168.54,68.144.93.235,TCP,619,10,9,Intrusion
12/13/2020 2:43,168.159.245.149,211.64.146.125,TCP,1224,24.41,35,Malware
8/20/2022 7:46,22.96.76.59,43.219.176.9,TCP,632,9.8,11,Malware
5/23/2022 4:50,163.93.76.114,36.148.218.135,UDP,670,1.3,7,Intrusion
1/12/2020 11:01,37.225.176.201,204.179.190.185,ICMP,88,0.83,3,DDoS
3/24/2021 9:50,123.233.44.106,154.223.194.82,TCP,1497,5.99,19,Malware
1/12/2020 19:33,158.145.58.183,82.213.128.111,ICMP,304,0.81,4,Intrusion
10/8/2021 21:42,193.109.94.146,189.14.24.22,ICMP,1001,0.88,20,DDoS
8/17/2022 19:20,122.108.169.214,7.195.147.252,UDP,1352,8.23,23,Malware
8/17/2022 2:04,64.58.36.254,179.161.134.184,UDP,548,3.72,14,DDoS
3/10/2020 4:31,61.217.244.146,167.60.226.61,UDP,1114,8.52,24,Intrusion
11/20/2022 17:53,21.23.245.141,135.172.206.155,TCP,149,28.1,3,DDoS
11/17/2022 22:12,183.2.17.209,205.172.143.0,TCP,548,20.79,10,Intrusion
1/8/2022 9:48,89.234.123.19,180.17.247.177,UDP,1106,1.5,44,Malware
3/3/2020 1:54,157.164.90.122,7.220.81.96,UDP,1290,1.96,32,Intrusion
2/15/2021 5:17,123.185.30.222,22.188.5.93,UDP,190,9.76,3,DDoS
9/13/2020 1:49,185.157.240.136,107.0.155.243,ICMP,995,1.63,12,Malware
12/25/2022 7:20,195.177.54.54,50.191.236.203,TCP,1342,23.5,15,Intrusion
1/27/2021 22:49,221.219.44.103,36.211.253.244,ICMP,722,1.55,10,Malware
5/30/2023 17:14,86.165.141.178,19.155.138.245,ICMP,1181,1.84,34,Malware
6/30/2020 1:24,70.228.121.60,204.219.67.217,TCP,907,21.53,15,Malware
7/7/2020 3:50,201.86.3.78,13.200.168.199,ICMP,1427,0.95,23,Intrusion
3/18/2020 7:33,61.152.211.241,155.90.185.195,UDP,793,1.4,14,Intrusion
3/9/2020 20:24,46.229.143.176,218.214.206.217,ICMP,686,1.06,15,DDoS
7/7/2023 19:15,38.130.51.208,190.9.156.57,UDP,1092,1.39,23,Intrusion
12/25/2022 22:00,27.57.214.142,46.220.52.17,UDP,492,6.78,2,Intrusion
4/12/2021 15:06,86.45.110.141,92.133.40.138,UDP,811,4.72,7,Malware
4/20/2021 21:58,29.187.204.185,178.79.44.158,ICMP,1444,1.75,23,Intrusion
6/6/2023 6:31,168.230.63.34,170.34.138.235,UDP,423,3.71,3,Intrusion
7/11/2021 5:34,221.187.162.221,174.67.68.203,TCP,744,23.62,11,Malware
12/24/2020 16:18,199.219.72.118,159.213.20.78,TCP,173,23.37,3,Intrusion
9/13/2023 2:42,44.24.112.64,71.28.47.114,ICMP,340,1.84,2,Intrusion
1/23/2023 9:24,107.70.70.221,38.176.49.37,ICMP,1082,0.67,23,Malware
4/5/2022 1:54,118.36.129.69,31.41.38.21,ICMP,876,0.66,5,Intrusion
9/30/2020 7:06,76.111.202.72,42.40.168.103,UDP,1319,9.7,32,Intrusion
8/6/2023 9:00,148.126.105.201,125.5.69.191,TCP,976,18.63,11,DDoS
11/20/2022 4:12,130.204.139.35,165.165.89.101,UDP,985,6.14,15,Malware
3/17/2020 7:02,100.247.164.6,154.189.148.49,ICMP,902,1.9,11,Malware
8/8/2020 23:19,88.204.79.6,64.153.177.110,UDP,889,9.26,8,Malware
3/21/2022 14:41,149.253.227.55,77.40.158.129,TCP,1492,18.49,39,Malware
2/13/2023 19:15,160.148.168.183,214.36.26.162,UDP,787,8.56,6,Malware
10/13/2022 4:35,75.160.180.145,149.125.243.212,ICMP,1070,1.72,44,Intrusion
11/24/2021 20:11,169.21.155.127,171.38.239.42,UDP,1455,2.12,46,DDoS
12/31/2021 11:46,92.192.73.229,72.77.74.9,TCP,640,25.67,13,Intrusion
10/25/2021 4:23,129.189.216.143,197.202.27.160,ICMP,1178,0.83,32,Malware
4/25/2022 20:26,60.223.224.39,218.187.232.192,ICMP,158,0.44,3,Intrusion
3/17/2022 23:44,172.26.245.135,21.131.246.181,ICMP,1409,0.59,33,Intrusion
11/3/2022 14:58,57.64.88.197,117.180.242.111,UDP,866,8.53,6,Malware
3/31/2023 19:19,144.98.223.88,121.165.184.11,TCP,343,25.94,3,Malware
11/22/2020 13:01,217.68.188.168,197.49.231.196,ICMP,531,1.29,13,DDoS
4/5/2020 9:55,205.63.22.106,64.111.164.43,ICMP,1387,1.23,45,Malware
12/9/2020 14:27,216.215.211.18,183.6.121.71,TCP,715,5.79,11,DDoS
10/30/2022 5:51,62.75.113.77,216.196.28.158,ICMP,765,1.32,15,Intrusion
10/18/2020 14:09,59.130.224.255,74.58.58.46,TCP,646,24.07,5,Intrusion
7/7/2023 17:18,174.146.252.123,107.24.14.107,TCP,1142,26.8,42,Intrusion
7/10/2023 14:54,43.21.38.240,41.177.63.177,ICMP,1005,0.19,26,Malware
6/18/2022 23:08,140.199.137.100,117.235.111.116,ICMP,984,1.16,8,DDoS
8/11/2023 9:21,144.25.158.239,109.197.80.147,UDP,512,1.23,12,Intrusion
10/3/2021 0:19,206.106.57.176,81.164.233.152,UDP,1191,8.22,25,Intrusion
6/28/2023 4:34,123.171.184.232,110.132.126.21,ICMP,527,1.41,9,DDoS
1/4/2021 15:33,164.100.122.239,98.123.107.77,TCP,1388,10.09,39,Malware
8/19/2023 16:40,90.212.23.56,68.159.228.93,TCP,425,27.04,3,DDoS
8/11/2023 7:44,24.22.149.26,146.21.102.253,UDP,491,6.35,2,DDoS
3/13/2023 10:14,194.234.162.202,147.51.254.72,ICMP,668,0.78,6,DDoS
1/31/2021 2:34,123.137.242.84,218.199.100.246,TCP,1127,15.43,37,DDoS
10/8/2020 4:36,72.133.31.200,105.23.80.132,TCP,1292,28.26,19,Malware
7/15/2020 6:22,192.71.135.165,9.53.243.2,UDP,1026,1.13,49,Intrusion
3/24/2020 5:59,175.197.78.254,78.172.11.97,TCP,712,5.52,10,Intrusion
12/20/2021 10:55,52.60.84.83,144.62.44.31,ICMP,1310,0.47,40,Malware
8/19/2022 13:09,46.227.63.254,202.242.212.55,UDP,1409,4.83,35,Intrusion
12/22/2021 6:08,55.254.137.72,207.157.165.225,UDP,939,4.93,12,DDoS
6/21/2023 0:16,158.64.80.181,47.104.175.219,UDP,361,6.69,1,Intrusion
10/20/2021 10:04,205.187.4.102,204.181.156.0,ICMP,723,1.94,7,Malware
5/29/2022 9:29,73.162.206.250,73.201.71.6,TCP,1409,25.38,27,Malware
4/26/2022 14:58,139.195.148.49,193.199.239.126,ICMP,354,0.96,4,DDoS
7/25/2023 5:14,50.222.101.194,18.182.113.129,UDP,876,5.78,12,Malware
8/17/2023 0:55,215.251.119.225,157.91.254.247,UDP,254,2.16,3,DDoS
6/7/2022 9:29,194.248.29.212,206.207.199.114,UDP,1100,2.6,36,Intrusion
10/24/2021 19:49,51.131.211.140,48.127.124.127,TCP,574,24.83,12,DDoS
3/31/2023 16:02,36.70.101.165,33.185.161.157,ICMP,167,0.22,3,Intrusion
2/2/2023 22:53,63.65.61.99,145.138.218.23,UDP,814,7.91,12,Malware
10/20/2022 14:11,196.194.50.241,215.5.7.197,UDP,121,9.19,4,Malware
6/11/2023 18:05,45.62.161.202,31.226.121.151,UDP,863,7.59,12,Malware
1/28/2021 14:22,46.144.162.187,55.136.160.245,ICMP,187,0.5,1,Intrusion
7/28/2022 12:21,123.195.89.57,91.194.147.130,UDP,1347,6.75,29,DDoS
9/8/2023 16:35,87.204.43.49,116.107.209.186,ICMP,709,1.82,8,Malware
8/22/2021 15:05,89.77.186.73,206.207.48.46,ICMP,591,1.33,5,Intrusion
8/20/2021 11:49,175.156.131.104,59.14.235.25,TCP,1043,22.03,40,Malware
6/3/2021 18:53,31.216.17.77,5.35.109.169,UDP,226,9.25,1,DDoS
3/19/2021 20:59,158.120.65.227,150.9.27.19,ICMP,631,0.11,5,Malware
3/9/2020 6:51,124.124.105.74,47.212.142.21,ICMP,609,0.48,5,DDoS
2/8/2021 0:59,10.90.47.5,117.97.204.110,ICMP,1132,1.18,16,Intrusion
1/28/2023 18:14,187.197.11.144,152.193.86.107,ICMP,941,0.19,8,DDoS
6/30/2021 0:40,159.102.43.101,34.167.108.175,ICMP,525,0.19,7,Intrusion
4/2/2020 1:13,88.65.239.52,21.79.133.234,UDP,706,6.78,6,Intrusion
4/8/2022 10:28,125.111.212.249,19.83.69.229,UDP,1438,5.61,50,DDoS
3/21/2020 4:09,104.156.21.123,136.66.208.155,TCP,558,27.46,11,DDoS
6/30/2023 9:31,209.161.38.244,46.226.152.179,ICMP,1485,0.89,43,DDoS
9/8/2020 0:32,202.11.63.49,158.144.143.90,UDP,1103,5.48,35,Intrusion
1/18/2021 23:39,56.200.187.27,49.24.193.94,ICMP,192,1.26,4,DDoS
4/25/2022 15:58,52.18.54.120,7.198.146.170,UDP,1307,6.99,15,DDoS
3/19/2020 4:35,212.145.135.159,3.118.79.165,ICMP,882,0.55,7,Intrusion
12/10/2022 16:08,69.164.58.219,9.31.161.82,TCP,1364,28.84,21,Malware
6/30/2022 11:44,58.243.244.213,110.212.170.21,TCP,1368,25.94,29,Intrusion
6/8/2020 7:02,203.33.240.253,56.220.194.14,TCP,418,29.28,1,DDoS
3/16/2021 1:46,26.247.4.109,85.69.149.85,ICMP,878,1.32,13,DDoS
2/1/2021 3:38,223.213.102.111,91.20.53.117,UDP,1358,3.61,33,Intrusion
11/18/2022 22:16,44.67.194.108,74.34.94.239,UDP,721,2.06,12,DDoS
12/25/2021 17:30,79.171.1.155,121.217.211.213,TCP,1084,22.23,31,Malware
3/22/2022 11:32,187.142.95.56,100.253.162.223,UDP,399,1.89,4,DDoS
6/19/2020 2:52,152.65.55.56,8.30.176.111,ICMP,980,0.29,8,DDoS
12/13/2022 17:01,134.62.160.122,50.53.189.125,UDP,1144,6.2,30,Malware
3/26/2023 11:18,210.18.79.37,43.250.137.209,TCP,423,12.19,5,Malware
9/28/2022 14:52,220.9.223.196,11.39.120.114,ICMP,580,1.48,10,DDoS
7/16/2020 12:19,39.141.115.202,109.9.240.107,ICMP,770,1.12,15,Intrusion
10/22/2022 4:30,197.119.239.236,71.203.239.172,UDP,308,6.62,4,Intrusion
12/28/2020 10:10,14.59.56.74,75.118.190.146,ICMP,438,0.85,4,Intrusion
12/23/2020 16:47,157.38.225.119,111.141.97.180,TCP,587,10.85,7,DDoS
9/13/2022 14:15,160.146.191.30,204.129.91.203,TCP,665,18.65,6,Malware
2/15/2021 5:51,208.69.237.108,116.12.80.116,UDP,717,2.73,5,DDoS
10/28/2021 22:47,21.212.222.254,188.5.118.35,ICMP,1407,1.29,43,DDoS
6/8/2020 21:47,104.75.100.253,12.163.45.8,TCP,1090,21.24,27,Intrusion
11/6/2022 5:19,181.12.178.114,5.54.3.221,ICMP,381,1.57,2,Malware
4/23/2022 6:04,183.172.156.120,157.5.83.69,ICMP,802,0.83,14,Intrusion
1/28/2021 2:27,74.216.222.94,138.230.84.186,TCP,574,9.33,15,DDoS
9/7/2021 23:26,147.145.65.128,7.133.41.239,UDP,1152,9.39,25,Intrusion
10/8/2020 21:31,102.23.64.2,184.99.107.184,UDP,350,4.18,5,Malware
9/27/2022 9:40,30.29.44.104,55.210.48.133,TCP,1240,13.28,48,Malware
6/5/2021 3:46,147.173.11.4,182.11.110.8,TCP,591,17.87,10,DDoS
3/31/2021 11:29,205.46.59.104,47.182.229.23,TCP,497,22.88,2,Malware
4/17/2020 0:21,182.22.10.254,31.243.169.112,UDP,185,5.3,1,DDoS
10/2/2023 3:10,206.182.94.109,171.247.4.156,TCP,72,8.31,2,Intrusion
3/15/2023 4:35,190.109.214.204,143.206.49.2,TCP,363,10.52,1,DDoS
4/29/2023 3:13,175.227.219.0,175.204.107.216,TCP,305,5,5,Malware
10/26/2020 1:05,215.102.228.36,49.126.133.177,UDP,1201,7.4,46,Malware
2/5/2023 1:14,142.221.128.188,64.112.118.102,UDP,638,2.22,7,DDoS
4/25/2020 6:37,121.69.27.10,156.223.190.24,ICMP,1428,1.18,46,DDoS
8/5/2021 14:27,88.28.87.41,122.21.158.210,TCP,863,16.48,14,Malware
2/22/2022 5:36,95.188.115.128,110.174.196.227,ICMP,283,1.67,2,DDoS
3/16/2022 13:33,62.156.64.165,216.250.141.138,TCP,556,20.55,13,Malware
9/11/2021 13:05,192.217.21.40,34.96.135.41,TCP,482,17.8,2,DDoS
10/16/2022 5:26,198.249.153.149,152.65.175.192,TCP,1158,28.72,28,Intrusion
3/14/2021 1:11,110.238.142.101,165.183.173.131,UDP,791,6.77,5,Intrusion
1/30/2021 22:12,199.1.140.129,109.89.146.42,ICMP,956,0.68,11,Intrusion
1/1/2021 11:50,205.37.0.136,82.243.180.194,UDP,195,5.98,4,Malware
8/8/2020 6:13,133.45.221.126,91.73.252.92,TCP,960,9.07,9,Malware
10/22/2021 15:43,166.253.212.92,87.142.87.242,UDP,670,5.18,6,Malware
9/21/2020 20:12,133.109.76.93,115.202.177.66,TCP,432,21.68,4,DDoS
11/2/2021 5:56,12.17.46.235,65.44.31.247,UDP,558,8.15,6,Malware
6/10/2020 3:22,190.80.20.82,6.201.62.32,UDP,969,6.08,7,Intrusion
1/6/2023 0:59,183.7.190.179,156.179.93.15,UDP,1089,2.9,27,Intrusion
4/3/2023 13:37,122.237.47.8,84.56.120.189,TCP,992,19.8,9,Intrusion
10/5/2022 23:52,168.19.48.227,6.15.46.182,UDP,1418,7.37,39,Malware
7/14/2020 16:51,20.79.145.101,90.149.57.59,UDP,1483,5.55,35,DDoS
8/8/2022 15:27,131.22.254.220,162.90.72.92,TCP,1104,23.6,36,DDoS
6/8/2023 19:14,59.140.144.62,194.166.45.88,ICMP,514,1.19,13,Intrusion
8/12/2020 0:11,212.253.164.191,17.62.29.174,UDP,636,5,8,Intrusion
2/20/2023 15:40,170.252.196.163,122.126.217.52,UDP,358,1.77,1,Intrusion
5/28/2022 2:26,107.230.81.225,40.251.72.255,UDP,1061,5.96,16,Intrusion
5/5/2021 0:29,52.7.38.83,222.221.33.153,UDP,107,5.53,1,Malware
12/25/2022 16:18,186.78.173.116,131.169.236.53,UDP,911,7.51,11,Intrusion
4/27/2021 4:41,124.234.171.49,169.38.104.61,ICMP,1065,0.93,50,DDoS
9/28/2022 1:10,84.34.195.12,145.191.183.18,TCP,932,24.14,11,Malware
6/23/2023 18:01,61.189.101.6,171.179.184.111,TCP,308,9.54,5,Intrusion
12/18/2022 3:43,220.84.129.101,54.121.189.29,UDP,840,3.03,9,Intrusion
3/4/2020 1:36,109.143.38.209,80.23.231.188,TCP,802,25.73,8,Malware
3/13/2023 13:50,212.198.227.35,13.68.91.5,TCP,1163,25.9,25,Intrusion
12/29/2020 17:14,162.53.253.196,160.198.87.152,UDP,798,7.77,6,Malware
8/10/2022 22:27,161.103.195.137,51.172.212.120,UDP,1335,3.57,35,Intrusion
6/7/2020 12:04,169.34.162.230,26.24.253.146,TCP,452,22.27,2,DDoS
9/22/2022 7:08,24.41.84.96,139.198.241.166,TCP,195,19.01,2,DDoS
4/21/2020 1:07,205.230.133.75,106.133.118.105,UDP,1436,3.37,29,Intrusion
2/11/2020 15:52,201.90.196.7,62.132.137.49,ICMP,745,0.75,6,Intrusion
6/8/2020 2:33,11.98.159.196,115.60.86.140,ICMP,786,1.57,10,Intrusion
3/28/2021 17:45,200.115.29.51,86.139.64.110,TCP,1073,21.3,50,DDoS
12/23/2022 18:50,99.27.104.12,76.73.117.91,ICMP,1263,0.16,50,DDoS
5/15/2023 11:28,170.35.191.229,186.51.0.183,TCP,448,11.13,2,DDoS
2/3/2023 16:53,124.49.251.39,6.109.194.16,UDP,1135,2.17,16,Malware
7/26/2021 7:56,137.146.249.82,16.8.182.134,ICMP,1481,1.29,35,Intrusion
5/26/2022 1:25,95.199.218.16,175.88.31.3,ICMP,666,0.95,14,DDoS
3/1/2023 19:55,78.66.75.116,14.111.213.104,ICMP,382,0.61,3,Malware
2/26/2022 2:16,90.242.78.226,199.31.5.137,UDP,287,2.72,4,Malware
7/20/2021 23:35,53.56.27.198,120.172.169.71,TCP,1230,15.95,42,DDoS
5/31/2021 14:04,47.146.63.93,108.81.174.191,TCP,782,27.47,11,DDoS
10/2/2023 8:11,98.215.64.135,29.135.201.205,ICMP,1029,1.38,41,DDoS
12/19/2022 9:27,221.221.134.171,206.95.20.253,ICMP,603,0.86,6,Malware
7/25/2023 7:58,95.28.24.60,52.83.49.239,TCP,160,17.08,1,DDoS
8/27/2020 14:26,116.242.149.114,197.59.221.221,TCP,1303,20.07,43,Malware
9/24/2020 8:13,147.249.170.177,88.188.182.204,UDP,924,7.52,8,Malware
7/27/2021 20:47,12.150.105.214,122.195.144.247,ICMP,1229,1.36,32,Intrusion
10/24/2020 0:55,108.14.141.47,199.218.68.12,UDP,1247,2.15,30,Intrusion
2/6/2022 3:15,107.130.74.191,186.181.55.141,UDP,457,9.73,3,Malware
6/14/2020 8:07,88.11.188.250,66.53.159.25,TCP,553,11.39,13,Malware
12/5/2020 5:36,133.71.25.84,12.120.118.41,TCP,1458,17.03,42,Intrusion
1/15/2022 20:05,17.29.68.101,20.162.29.248,TCP,628,28.08,11,Intrusion
7/23/2023 22:02,106.152.19.217,78.226.143.40,TCP,108,23.59,4,Malware
12/25/2022 2:13,43.143.16.86,57.16.71.161,TCP,899,18.52,15,Intrusion
9/5/2023 5:37,49.21.247.145,31.159.170.218,UDP,704,9.58,10,Malware
10/26/2020 16:12,99.114.62.47,153.255.118.141,TCP,791,20.04,9,Intrusion
4/30/2020 16:52,215.177.233.202,202.19.22.204,TCP,1229,9.18,26,DDoS
6/22/2021 6:13,202.30.71.118,201.42.20.225,ICMP,325,1.41,3,DDoS
2/12/2021 1:14,218.21.217.218,22.52.60.6,ICMP,835,0.38,15,Intrusion
9/1/2021 11:17,54.90.207.156,81.63.102.177,TCP,721,8.6,15,Malware
9/24/2020 4:34,35.31.48.144,5.9.252.5,ICMP,1162,1.9,44,Malware
8/10/2021 22:15,122.89.8.55,70.39.7.179,TCP,920,27.92,13,DDoS
2/23/2020 18:38,56.209.184.105,3.74.233.60,UDP,635,8.08,14,Intrusion
8/10/2021 10:41,92.119.40.202,157.48.240.41,TCP,861,27.72,14,DDoS
7/28/2023 6:33,172.46.157.69,163.160.108.182,ICMP,1443,0.13,36,DDoS
8/15/2022 1:37,20.161.101.135,219.115.79.100,UDP,362,1.56,1,Malware
5/3/2022 7:54,108.161.82.102,56.160.97.250,ICMP,680,2,5,DDoS
2/9/2023 20:00,195.99.103.54,48.184.91.183,ICMP,1419,0.77,43,Intrusion
9/27/2021 18:07,64.186.113.234,155.246.255.207,ICMP,749,1.75,11,Malware
2/22/2022 20:05,160.113.97.19,65.177.32.52,TCP,1405,19.33,49,Intrusion
12/23/2021 0:01,52.125.182.188,42.242.92.33,ICMP,1225,0.86,37,Malware
11/20/2022 7:54,184.31.62.32,158.255.232.22,UDP,461,1.96,4,Malware
3/1/2022 14:18,216.31.29.59,22.252.185.137,UDP,1428,6.21,50,DDoS
9/18/2020 20:35,22.136.1.49,73.143.85.168,TCP,1102,8.68,42,Intrusion
8/30/2023 6:28,28.234.146.83,161.72.251.208,TCP,1409,11.46,43,Malware
3/25/2020 17:16,122.51.101.155,192.226.95.121,ICMP,960,1.87,8,DDoS
7/6/2023 3:43,117.134.5.208,60.136.162.151,ICMP,437,1.68,4,Intrusion
7/29/2020 11:55,116.87.171.175,15.251.62.10,UDP,179,2.43,1,DDoS
9/22/2021 7:17,141.157.90.82,202.11.141.145,TCP,1418,16.45,39,Intrusion
3/11/2022 21:07,39.243.27.161,21.204.80.111,TCP,973,5.71,7,Malware
2/5/2023 13:06,166.112.83.106,43.123.221.87,TCP,1147,9.98,24,DDoS
3/20/2023 2:03,7.52.85.122,73.141.141.16,ICMP,516,1.67,7,Malware
3/26/2020 18:05,115.237.124.58,128.60.244.25,TCP,1128,9.54,33,Intrusion
5/1/2023 17:40,185.161.215.251,43.58.49.240,UDP,635,5.77,14,DDoS
1/28/2022 17:16,168.170.166.0,123.62.63.173,UDP,1009,2.78,26,Intrusion
4/23/2021 6:41,39.43.56.159,85.99.96.153,ICMP,104,0.45,2,Intrusion
6/12/2020 0:13,164.21.30.159,202.94.236.159,TCP,98,13.58,5,DDoS
1/26/2020 17:13,199.2.90.142,205.29.233.164,ICMP,1352,1.65,20,Malware
4/19/2021 4:51,60.20.108.52,146.91.179.41,UDP,163,5.06,5,Malware
7/7/2021 18:29,79.71.69.10,218.35.115.249,ICMP,765,0.25,5,Intrusion
2/10/2023 21:51,21.98.150.111,107.6.133.45,ICMP,802,0.86,14,Malware
10/1/2021 15:27,16.179.250.143,152.147.100.97,TCP,1166,7.88,16,DDoS
2/1/2023 7:56,68.67.210.174,13.187.74.234,ICMP,594,1.63,5,Intrusion
3/19/2023 13:04,173.157.55.33,102.245.0.156,TCP,1343,9.2,26,DDoS
12/21/2021 11:04,154.223.61.104,213.121.30.87,ICMP,601,0.77,12,Intrusion
9/30/2021 13:02,68.138.157.220,120.103.213.252,UDP,1457,3.83,25,DDoS
9/26/2022 21:06,71.145.123.250,51.97.120.22,UDP,886,4.28,11,Malware
2/4/2020 5:31,119.205.113.20,213.44.13.67,TCP,1066,7.3,22,DDoS
4/4/2021 20:10,63.137.101.136,82.166.158.78,ICMP,748,0.76,14,Malware
6/21/2020 9:02,1.227.78.78,16.6.157.166,TCP,866,15.41,8,Intrusion
6/8/2020 0:15,61.117.133.168,194.149.186.231,UDP,1188,6.18,32,Malware
11/8/2022 21:40,81.116.169.81,100.246.139.245,UDP,332,9,2,Malware
12/18/2022 8:34,32.200.204.179,150.222.191.107,TCP,670,20.9,9,Intrusion
11/3/2021 5:46,155.130.165.253,200.170.75.164,TCP,952,29.69,7,Malware
4/27/2020 16:30,143.34.5.224,61.70.129.101,UDP,1368,8.33,35,Intrusion
2/14/2020 17:12,168.123.160.104,103.58.219.191,ICMP,633,1.22,8,Malware
10/23/2020 1:41,87.194.220.146,178.242.135.8,ICMP,674,0.89,11,Intrusion
8/31/2023 16:40,170.125.93.184,107.143.116.223,ICMP,76,0.52,3,Intrusion
4/17/2021 14:11,190.194.43.175,202.93.1.145,TCP,389,22.89,5,DDoS
2/7/2021 19:45,30.100.17.89,3.104.11.98,ICMP,125,1.82,2,Intrusion
3/21/2022 8:54,92.243.253.178,118.92.51.99,UDP,1062,4.78,41,DDoS
6/7/2021 13:54,204.247.66.81,196.74.160.27,TCP,1364,12.38,38,DDoS
4/16/2023 0:53,151.177.15.119,25.208.75.98,UDP,777,8.78,7,Intrusion
4/15/2022 6:06,115.187.100.129,191.101.91.185,ICMP,1034,1.88,32,Intrusion
4/5/2023 19:45,61.38.166.226,54.244.234.75,TCP,461,5.24,5,Malware
